"WIND","IND","RAIN","T.MAX","IND.2","T.MIN.G"
13.67,0.000,0.2,9.5,0.000,-1
11.5,0.000,5.1,7.2,0.000,1.1
11.25,0.000,0.4,5.5,0.000,-0.5
8.63,0.000,0.2,5.6,0.000,-3.2
10.67,0.000,0,6.5,0.000,-2
9.17,0.000,1.9,9.2,0.333,-7.1
14.29,0.000,0,6.6,0.000,0
11.42,0.000,0,6.5,0.000,0.5
7.54,0.000,0.5,10,0.333,-7.7
4.63,0.000,0,13.1,0.000,3.3
3.08,0.000,0,5.6,0.333,-6.1
2.5,0.000,0,4.4,0.333,-8.3
9.25,0.000,0,4.6,0.333,-8.3
13.42,0.000,2,9.3,0.000,-2.7
3.71,0.000,0.9,6.6,0.000,-2
8.04,0.000,0.2,10.1,0.000,0.4
9.38,0.000,0.3,6.5,0.000,1.3
13.7,0.000,0,6.5,0.000,2.2
9.25,0.000,0,4.3,0.000,1.1
14.33,0.000,0.7,13,0.000,-1.6
16.79,0.000,1.5,12.3,0.000,2.7
12.25,0.000,2.8,12,0.000,-2.2
14.5,0.000,1.4,7.8,0.000,0.8
14.88,0.000,4.7,7.2,0.000,-0.5
10.17,0.000,2.1,8.7,0.000,-2.2
10.88,0.000,0.1,8.1,0.000,1
8.5,0.000,4,8.1,0.333,-5
12.54,0.000,5.7,11.3,0.000,-1.1
19.17,0.000,0.5,7.8,0.000,1.5
14.21,0.000,0.3,11.6,0.000,0.7
16.5,0.000,4.4,14.6,0.000,2.4
14.37,0.000,0.3,11.7,0.000,3.2
11.08,0.000,0.8,10.7,0.000,3.1
17.5,0.000,3.5,11.3,0.000,3.8
11.71,0.000,0,15.5,0.000,4.3
16.08,0.000,0,12.7,0.000,6
15.46,0.000,0,13.3,0.000,7.7
5.17,0.000,0,13.8,0.000,-3.3
3.42,0.000,0,12.1,0.000,-2.6
6.17,0.000,0,11.7,0.000,-0.4
10.88,0.000,0,13.3,0.000,4.3
9.62,0.000,0,14.5,0.000,-0.4
7.25,0.000,0,13.1,0.000,-1.5
3.75,0.000,0,8.6,0.000,-2.1
8.25,0.000,0,7.5,0.000,2.5
16.38,0.000,4.6,8.8,0.000,2.2
8.17,0.000,0.7,11,0.000,4.4
13.08,0.000,3.2,9.8,0.000,-1.3
21.17,0.000,2.1,14.5,0.000,1
12.75,0.000,3.1,10.1,0.000,1.1
14.75,0.000,1,10.6,0.000,0.7
10.25,0.000,0.7,12.7,0.000,5
10.88,0.000,0,12.2,0.000,4.3
11.29,0.000,0,12.2,0.000,-1.6
6.21,0.000,0,11.8,0.000,0.5
5.5,0.000,0,17.2,0.000,-3.2
2.83,0.000,0,14.4,0.000,1.3
3.63,0.000,0,14.7,0.000,2.3
1.71,0.000,0,15.1,0.000,0.8
3.75,0.000,0,14.2,0.000,1.6
8.79,0.000,0,11.8,0.000,3.8
10.34,0.000,0,14.6,0.000,2.4
13.96,0.000,0,15.5,0.000,9
8.12,0.000,0,15.5,0.000,5
11.54,0.000,0,16.2,0.000,0.5
2.75,0.000,0,18.8,0.000,-1.2
13,0.000,0,9.7,0.000,-1.5
13.17,0.000,0.5,10.2,0.000,0.4
7.75,0.000,0,9.6,0.000,-1.6
15.41,0.000,0,11.8,0.000,-2.2
8.17,0.000,0,10.3,0.000,-1.7
8,0.000,0,12.7,0.000,-1.8
10.88,0.000,0,9.4,0.000,5
8.46,0.000,0,14.5,0.000,5.2
10.75,0.000,0,12.2,0.000,-1.6
13.75,0.000,0.3,11.8,0.000,5.5
6.75,0.000,0,11.7,0.333,-5
10.88,0.000,1.1,13.3,0.000,-2.6
16.62,0.000,1.8,14.7,0.667,5.5
14.79,0.000,1.8,13.8,0.000,8.6
11.92,0.000,1.1,14.5,0.000,2.7
11.67,0.000,2.5,13.7,0.000,7.7
5.25,0.000,0,10.3,0.000,5
5.5,0.000,2.6,6.6,0.000,3.2
9.25,0.000,4.2,14.3,0.000,4.2
5,0.000,0,11.8,0.000,6.3
5.33,0.000,0,10.2,0.000,-0.5
9.96,0.000,1.9,12,0.000,8.3
5.21,0.000,1.9,14.4,0.000,9
5.66,0.000,5.8,16.1,0.000,-0.2
8,0.000,0.1,15,0.000,3.1
4.29,0.000,0.5,14.6,0.000,3.3
2.46,0.000,0,12.7,0.000,0
2.88,0.000,0,12.2,0.000,-1.2
4.46,0.000,0,15.5,0.000,-0.8
5.66,0.000,0.2,10.7,0.000,3.6
12.96,0.000,3.7,11.6,0.000,-1.1
9.5,0.000,3.6,16.4,0.000,1.6
10.71,0.000,1.8,12.8,0.000,1.3
5.25,0.000,2.8,13.8,0.000,-2.2
6,0.000,0,16.2,0.000,-0.1
6.25,0.000,0,16.8,0.000,1.6
2.67,0.000,0,15.5,0.000,-2.6
4.04,0.000,4,15.7,0.000,3.8
9.5,0.000,0.4,15.5,0.000,6.6
5.96,0.000,2,16.7,0.000,7.8
9.13,0.000,0.7,16.1,0.000,3
16.83,0.000,0.8,15.5,0.000,6.2
18.21,0.000,2.3,13.3,0.000,4.6
18.58,0.000,0,15,0.000,5.5
7.25,0.000,0,16.7,0.000,2.7
3.33,0.000,0,17.1,0.000,-1
3.67,0.000,0,19.7,0.000,0.3
5.17,0.000,0,19.8,0.000,1.4
5.21,0.000,0.2,22.1,0.000,0.1
10.04,0.000,1.4,15.7,0.000,6.6
5.91,0.000,0,14.7,0.000,8.5
8.38,0.000,0,13.1,0.000,4.6
5.83,0.000,0,13.4,0.000,-0.4
5.04,0.000,0,12.7,0.000,-1.2
6.83,0.000,0,14.6,0.000,0.5
4.71,0.000,0,14.7,0.000,7.2
3.17,0.000,0,15.2,0.000,-0.7
2.42,0.000,0,14.4,0.000,1.1
3.13,0.000,0,14.5,0.000,8.7
4,0.000,0.2,14.6,0.000,10
6.79,0.000,1.6,12.7,0.000,8.4
9.33,0.000,0,10.6,0.000,2.2
4.92,0.000,0,12.5,0.000,-1.2
5.41,0.000,0,14,0.000,-2.8
11.71,0.000,1.8,13.3,0.000,7.5
5.83,0.000,0,14.2,0.000,8.1
6.58,0.000,0,17,0.000,3.3
9.75,0.000,0,17,0.000,3.2
7.92,0.000,0,17.8,0.000,10.1
10.41,0.000,0,18.7,0.000,10.8
6.21,0.000,0,20.8,0.000,10.5
4.21,0.000,0.3,16.7,0.000,10.6
8.17,0.000,4.8,17.7,0.000,6.6
9.54,0.000,0.7,15.5,0.000,6.1
8.29,0.000,1.8,17.2,0.000,4.4
9.71,0.000,1.6,15.7,0.000,9.6
6.25,0.000,3.6,16.6,0.000,8.4
9.17,0.000,1,13.6,0.000,9
4.67,0.000,0.2,18,0.000,3.2
5.66,0.000,1.2,18.8,0.000,2.2
8.25,0.000,0.1,18.8,0.000,10.4
10.54,0.000,0.2,19.6,0.000,4.7
12.96,0.000,0.8,20,0.000,14.4
13.7,0.000,0,17.6,0.000,7.2
10.37,0.000,0,17.3,0.000,6.4
7.92,0.000,0,16.6,0.000,8.7
10.54,0.000,1.6,19.4,0.000,2.1
13.29,0.000,0,18.5,0.000,11.5
14.21,0.000,0,22.4,0.000,9.4
14.88,0.000,0,23,0.000,6.7
11.87,0.000,2.8,21.6,0.000,11.4
8.38,0.000,0,15.2,0.000,11.5
10.54,0.000,0,16.7,0.000,3.5
8.79,0.000,0,19.5,0.000,2.4
8.33,0.000,0,22.2,0.000,8.5
4.92,0.000,0,23.4,0.000,9
6.71,0.000,0,19.4,0.000,14.4
5.83,0.000,0,20.1,0.000,11.5
15.75,0.000,0.6,18.3,0.000,7.2
14.92,0.000,0,18.2,0.000,9.8
10.08,0.000,0,20,0.000,4.5
7.08,0.000,0.1,20.2,0.000,4.4
14.54,0.000,0.2,21.2,0.000,12.2
14.04,0.000,0,18.3,0.000,13.7
7.41,0.000,5.4,17.4,0.000,12.8
9.08,0.000,0.4,19,0.000,10.1
11.83,0.000,0.1,17.4,0.000,8.6
10.25,0.000,2.6,18.8,0.000,5.8
13.13,0.000,0.1,15.6,0.000,10.1
7.08,0.000,0,19.7,0.000,8.8
4.96,0.000,0,19.3,0.000,6.8
3.5,0.000,0,18.7,0.000,3.4
3.04,0.000,0,18.3,0.000,11.2
2.21,0.000,0,16,0.000,7.7
4.75,0.000,0,17.1,0.000,8.8
2.21,0.000,0,17.3,0.000,7.7
3.58,0.000,0,18.3,0.000,8.6
12.29,0.000,1.6,20.6,0.000,9.2
18.79,0.000,0,17.5,0.000,11.3
7.87,0.000,2.6,16.7,0.000,11.2
9.67,0.000,0,17.8,0.000,5.5
5.79,0.000,0,18.2,0.000,10.5
6.04,0.000,0,21.4,0.000,5.3
3.75,0.000,0,17.7,0.000,10.7
4.21,0.000,0.7,17.1,0.000,3.7
8.87,0.000,0.9,17.8,0.000,9
